kepid fits i j k l period prad srad kepmag activity transitid syntheticid plphase synpixmin synpixmax synxmin synxmax
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_2 35 0.2365 35 37 1194.19886628 1194.23973479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_3 35 0.2365 35 37 1197.23286628 1197.27373479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_4 35 0.2365 35 37 1200.26686628 1200.30773479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_5 35 0.2365 35 37 1203.30086628 1203.34173479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_6 35 0.2365 35 37 1206.33486628 1206.37573479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_7 35 0.2365 35 37 1209.36886628 1209.40973479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_8 35 0.2365 35 37 1212.40286628 1212.44373479
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_0 36 0.0566 10 13 667.914755498 667.976053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_1 36 0.0566 10 13 671.598755498 671.660053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_2 36 0.0566 10 13 675.282755498 675.344053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_3 36 0.0566 10 13 678.966755498 679.028053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_4 36 0.0566 10 13 682.650755498 682.712053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_5 36 0.0566 10 13 686.334755498 686.396053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_6 36 0.0566 10 13 690.018755498 690.080053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_7 36 0.0566 10 13 693.702755498 693.764053935
9833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.683534775 0.685876072 0.435 14.393 0.000699699 36_8 36 0.0566 10 13 697.386755498 697.448053935
8474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2011177032512_llc.fits 0 0 1 4 10.67195957 0.590617322 0.494 14.982 0.000839662 37_0 37 0.4922 257 261 876.951124062 877.032861
8474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2011177032512_llc.fits 0 0 1 4 10.67195957 0.590617322 0.494 14.982 0.000839662 37_1 37 0.4922 257 261 887.623124062 887.704861
8474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2011177032512_llc.fits 0 0 1 4 10.67195957 0.590617322 0.494 14.982 0.000839662 37_2 37 0.4922 257 261 898.295124062 898.376861
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009166043257_llc.fits 0 0 1 5 10.0233914 0.880218324 0.51 15.046 0.000974422 38_0 38 0.3867 189 194 135.843776541 135.945948339
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009166043257_llc.fits 0 0 1 5 10.0233914 0.880218324 0.51 15.046 0.000974422 38_1 38 0.3867 189 194 145.866776541 145.968948339
10936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009166043257_llc.fits 0 0 1 5 10.0233914 0.880218324 0.51 15.046 0.000974422 38_2 38 0.3867 189 194 155.889776541 155.991948339
9225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2011271113734_llc.fits 0 0 1 6 40.80405002 0.845666087 0.605 13.919 0.001198601 39_0 39 0.3233 646 652 931.2032259 931.32583
5265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2009350155506_llc.fits 0 0 1 7 24.33672187 0.583873603 0.565 14.786 0.001329611 40_0 40 0.1423 169 175 293.407516884 293.530112671
5265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2009350155506_llc.fits 0 0 1 7 24.33672187 0.583873603 0.565 14.786 0.001329611 40_1 40 0.1423 169 175 317.744516884 317.867112671
10963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2011177032512_llc.fits 0 0 1 8 21.5312695 0.884193921 0.36 15.179 0.001520693 41_0 41 0.2718 286 291 836.470395135 836.572566523
10963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2011177032512_llc.fits 0 0 1 8 21.5312695 0.884193921 0.36 15.179 0.001520693 41_1 41 0.2718 286 291 858.001395135 858.103566523
11514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2013131215648_llc.fits 0 0 1 9 49.19185771 0.88658444 0.537 15.346 0.001742307 42_0 42 0.1472 354 360 1567.992168 1568.114773
8042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013098041711_llc.fits 0 0 1 10 34.72450995 0.553495466 0.593 11.264 0.00202411 43_0 43 0.7863 1337 1342 1548.722548 1548.824719
9333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013098041711_llc.fits 0 0 1 11 48.72196382 0.806770899 0.29 12.889 0.002231568 44_0 44 0.3165 755 759 1505.99593 1506.077664
8678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011177032512_llc.fits 0 0 1 12 11.01669073 0.634392791 0.588 15.226 0.002562324 45_0 45 0.4541 245 249 833.159908762 833.241646306
8678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011177032512_llc.fits 0 0 1 12 11.01669073 0.634392791 0.588 15.226 0.002562324 45_1 45 0.4541 245 249 844.176908762 844.258646306
8678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011177032512_llc.fits 0 0 1 12 11.01669073 0.634392791 0.588 15.226 0.002562324 45_2 45 0.4541 245 249 855.193908762 855.275646306
7802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2013011073258_llc.fits 0 0 1 13 32.18682394 0.663070867 0.47 14.457 0.002886951 46_0 46 0.7327 1154 1159 1403.707841 1403.810005
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2012004120508_llc.fits 0 0 1 14 48.34858353 0.548757921 0.56 15.092 0.003254503 47_0 47 0.109 258 264 1011.240767 1011.363363
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_0 48 0.4252 24 27 742.393076442 742.454375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_1 48 0.4252 24 27 743.563076442 743.624375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_2 48 0.4252 24 27 744.733076442 744.794375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_3 48 0.4252 24 27 745.903076442 745.964375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_4 48 0.4252 24 27 747.073076442 747.134375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_5 48 0.4252 24 27 748.243076442 748.304375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_6 48 0.4252 24 27 749.413076442 749.474375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_7 48 0.4252 24 27 750.583076442 750.644375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_8 48 0.4252 24 27 751.753076442 751.814375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_9 48 0.4252 24 27 752.923076442 752.984375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_10 48 0.4252 24 27 754.093076442 754.154375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_11 48 0.4252 24 27 755.263076442 755.324375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_12 48 0.4252 24 27 756.433076442 756.494375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_13 48 0.4252 24 27 757.603076442 757.664375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_14 48 0.4252 24 27 758.773076442 758.834375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_15 48 0.4252 24 27 759.943076442 760.004375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_16 48 0.4252 24 27 764.623076442 764.684375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_17 48 0.4252 24 27 765.793076442 765.854375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_18 48 0.4252 24 27 766.963076442 767.024375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_19 48 0.4252 24 27 768.133076442 768.194375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_20 48 0.4252 24 27 769.303076442 769.364375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_21 48 0.4252 24 27 770.473076442 770.534375801
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.170043479 0.888674978 0.609 13.212 0.003874598 48_22 48 0.4252 24 27 771.643076442 771.704375801
6276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011177032512_llc.fits 0 0 1 16 7.731160521 0.84463907 0.557 15.31 0.004648632 49_0 49 0.5843 221 225 868.061869906 868.143607828
6276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011177032512_llc.fits 0 0 1 16 7.731160521 0.84463907 0.557 15.31 0.004648632 49_1 49 0.5843 221 225 875.792869906 875.874607828
6276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011177032512_llc.fits 0 0 1 16 7.731160521 0.84463907 0.557 15.31 0.004648632 49_2 49 0.5843 221 225 883.523869906 883.605607828
6276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011177032512_llc.fits 0 0 1 16 7.731160521 0.84463907 0.557 15.31 0.004648632 49_3 49 0.5843 221 225 891.254869906 891.336607828
11714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012179063303_llc.fits 0 0 1 17 17.55729403 0.980995122 0.556 13.646 0.006120298 50_0 50 0.951 817 822 1206.604004 1206.706175
5428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2013011073258_llc.fits 0 0 1 18 37.32048167 0.54260298 0.454 14.781 0.010578581 51_0 51 0.2673 488 493 1400.397807 1400.49997
12835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2011073133259_llc.fits 0 0 1 19 41.52415191 0.990332299 0.488 15.187 0.020991773 52_0 52 0.1768 359 365 778.9281318 779.0507336
3232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2013098041711_llc.fits 0 0 2 0 11.43044191 0.616252388 0.602 13.904 0.000263363 53_0 53 0.4828 270 275 1494.18470656 1494.28687328
3232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2013098041711_llc.fits 0 0 2 0 11.43044191 0.616252388 0.602 13.904 0.000263363 53_1 53 0.4828 270 275 1505.61470656 1505.71687328
3232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2013098041711_llc.fits 0 0 2 0 11.43044191 0.616252388 0.602 13.904 0.000263363 53_2 53 0.4828 270 275 1517.04470656 1517.14687328
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2012004120508_llc.fits 0 0 2 1 33.32083207 0.949649169 0.393 15.156 0.000483863 54_0 54 0.862 1406 1411 1049.716153 1049.818318
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2010078095331_llc.fits 0 0 2 2 20.48634304 0.517907288 0.27 15.297 0.000586369 55_0 55 0.7182 720 723 424.5268451 424.5881468
